nom,link,nevades,dataReport,neuPista,estado,maximNevada,minimNevada
Gstaad - St.Stephan - Zweisimmen,https://es.snow-forecast.com/resorts/Gstaad-StStephan-Zweisimmen/snow-report,6,publicado el 14 Apr 2019,-,closed,,
Gstaad Glacier 3000,https://es.snow-forecast.com/resorts/GstaadGlacier3000/snow-report,40,publicado el  9 Apr 2019, Excellent,Excellent,150,400
Gstaad/Rinderberg-Saanerslochgrat,https://es.snow-forecast.com/resorts/Gstaad-Rinderberg-Saanerslochgrat/snow-report,6,publicado el 14 Apr 2019,-,closed,,
Gurnigel,https://es.snow-forecast.com/resorts/Gurnigel/snow-report,2,publicado el 14 Apr 2019,-,closed,,
Habkern,https://es.snow-forecast.com/resorts/Habkern/snow-report,1,publicado el 14 Apr 2019,-,closed,,
Haute Nendaz,https://es.snow-forecast.com/resorts/Haute-Nendaz/snow-report,5,publicado el 12 Apr 2019,-,-,,
Heiden - Grub - Oberegg Appenzellerland,https://es.snow-forecast.com/resorts/Heiden-Grub-ObereggAppenzellerland/snow-report,12,publicado el  5 Apr 2019,-,-,,
Hemberg - Bächli,https://es.snow-forecast.com/resorts/Hemberg-Bachli/snow-report,10,publicado el 15 Apr 2019,-,closed,,
Hoch-Ybrig,https://es.snow-forecast.com/resorts/Hoch-Ybrig/snow-report,9,publicado el 15 Apr 2019,Powder,Closed,20,120
Ibergeregg,https://es.snow-forecast.com/resorts/Ibergeregg/snow-report,7,publicado el 15 Apr 2019,-,closed,,
Interlaken,https://es.snow-forecast.com/resorts/Interlaken/snow-report,2,publicado el 14 Apr 2019,-,closed,,
Jaun,https://es.snow-forecast.com/resorts/Jaun/snow-report,6,publicado el 14 Apr 2019,-,closed,,
Jaunpass - Boltigen,https://es.snow-forecast.com/resorts/Jaunpass-Boltigen/snow-report,5,publicado el 14 Apr 2019,-,closed,,
Jeizinen,https://es.snow-forecast.com/resorts/Gampel-Jeizinen/snow-report,3,publicado el 12 Apr 2019,-,-,,
Kandersteg,https://es.snow-forecast.com/resorts/Kandersteg/snow-report,2,publicado el 14 Apr 2019,-,closed,,
Kerenzerberg - Filzbach,https://es.snow-forecast.com/resorts/Kerenzerberg-Filzbach/snow-report,12,publicado el 15 Apr 2019,-,closed,,
Kiental,https://es.snow-forecast.com/resorts/Kiental/snow-report,2,publicado el 14 Apr 2019,-,closed,,
Klewenalp - Stockhütte,https://es.snow-forecast.com/resorts/Klewenalp-Stockhutte/snow-report,2,publicado el 14 Apr 2019,-,closed,,
Klosters,https://es.snow-forecast.com/resorts/Klosters/snow-report,16,publicado el 15 Apr 2019,-,closed,,
Kronberg,https://es.snow-forecast.com/resorts/Kronberg/snow-report,14,publicado el 15 Apr 2019,-,closed,,
Krummenau - Wolzenalp - Toggenburg,https://es.snow-forecast.com/resorts/Krummenau-Wolzenalp-Toggenburg/snow-report,15,publicado el 15 Apr 2019,-,closed,,
L'Abbaye / Vallée de Joux,https://es.snow-forecast.com/resorts/LAbbayeValleedeJoux/snow-report,5,publicado el  8 Apr 2019,-,-,,
La Berra - La Roche,https://es.snow-forecast.com/resorts/LaBerra-LaRoche/snow-report,4,publicado el 14 Apr 2019,-,closed,,
La Chaux-de-Fonds,https://es.snow-forecast.com/resorts/La-Chaux-de-Fonds/snow-report,1,publicado el 13 Apr 2019,-,closed,,
La Corbatière - Vallée de La Sagne,https://es.snow-forecast.com/resorts/La-Corbatiere-Vallee-de-La-Sagne/snow-report,1,publicado el 13 Apr 2019,-,closed,,
La Dôle,https://es.snow-forecast.com/resorts/LaDole/snow-report,5,publicado el  8 Apr 2019,-,-,,
La Forclaz (Evolène),https://es.snow-forecast.com/resorts/La-Forclaz/snow-report,2,publicado el 15 Apr 2019,-,closed,,
La Fouly - Val Ferret,https://es.snow-forecast.com/resorts/LaFouly-ValFerret/snow-report,3,publicado el 14 Apr 2019,-,closed,,
La Punt/Engadin,https://es.snow-forecast.com/resorts/LaPuntEngadin/snow-report,26,publicado el 15 Apr 2019,-,closed,,
La Tzoumaz,https://es.snow-forecast.com/resorts/LaTzoumaz/snow-report,3,publicado el 15 Apr 2019, Good,Good,20,190
Langenbruck,https://es.snow-forecast.com/resorts/Langenbruck/snow-report,2,publicado el 14 Apr 2019,-,closed,,
Lauchernalp - Lötschental,https://es.snow-forecast.com/resorts/Lauchernalp-Lotschental/snow-report,3,publicado el 15 Apr 2019,Powder,open,,316
Lauterbrunnen,https://es.snow-forecast.com/resorts/Lauterbrunnen/snow-report,5,publicado el 15 Apr 2019,-,closed,,
Le Brassus / Vallée de Joux,https://es.snow-forecast.com/resorts/LeBrassusValleedeJoux/snow-report,6,publicado el  8 Apr 2019,-,-,,
Le Chable,https://es.snow-forecast.com/resorts/LeChable/snow-report,1,publicado el 14 Apr 2019,-,closed,,
Le Grand Val,https://es.snow-forecast.com/resorts/LeGrandVal/snow-report,4,publicado el 14 Apr 2019,-,closed,,
Le Pâquier - Crêt-du-Puy,https://es.snow-forecast.com/resorts/LePaquier/snow-report,2,publicado el 14 Apr 2019,-,closed,,
Lenk,https://es.snow-forecast.com/resorts/Lenk/snow-report,3,publicado el 14 Apr 2019,-,closed,,
Lenzerheide,https://es.snow-forecast.com/resorts/Lenzerheide-Valbella/snow-report,1,publicado el 12 Apr 2019,-,-,,
Les Breuleux,https://es.snow-forecast.com/resorts/LesBreuleux/snow-report,2,publicado el 14 Apr 2019,-,closed,,
Les Diablerets,https://es.snow-forecast.com/resorts/Les-Diablerets/snow-report,2,publicado el 15 Apr 2019,Powder,Closed,60,326
Les Genevez,https://es.snow-forecast.com/resorts/LesGenevez/snow-report,6,publicado el 15 Apr 2019,-,closed,,
Les Marécottes - Salvan,https://es.snow-forecast.com/resorts/LesMarecottes-Salvan/snow-report,3,publicado el 14 Apr 2019,-,closed,,
Les Mosses - La Lécherette,https://es.snow-forecast.com/resorts/LesMosses-LaLecherette/snow-report,3,publicado el 14 Apr 2019,-,closed,,
Les Paccots,https://es.snow-forecast.com/resorts/Les-Paccots/snow-report,1,publicado el 14 Apr 2019,-,closed,,
Les Pléiades,https://es.snow-forecast.com/resorts/LesPleiades/snow-report,1,publicado el 14 Apr 2019,-,closed,,
Les Prés-d'Orvin,https://es.snow-forecast.com/resorts/LesPres-dOrvin/snow-report,3,publicado el 14 Apr 2019,-,closed,,
Leukerbad,https://es.snow-forecast.com/resorts/Leukerbad/snow-report,2,publicado el 15 Apr 2019,Spring snow,closed,,190
Leysin,https://es.snow-forecast.com/resorts/Leysin/snow-report,1,publicado el 15 Apr 2019,Spring snow,Open,40,100
Lungern-Schönbüel,https://es.snow-forecast.com/resorts/LungernSchonbuel/snow-report,2,publicado el 14 Apr 2019,-,closed,,
Lungern/Schoenbueel,https://es.snow-forecast.com/resorts/Lungern-Schoenbueel/snow-report,3,publicado el 14 Apr 2019,-,closed,,
Maloja/Engadin,https://es.snow-forecast.com/resorts/MalojaEngadin/snow-report,24,publicado el 15 Apr 2019,-,closed,,
Marbach - Marbachegg,https://es.snow-forecast.com/resorts/Marbach-Marbachegg/snow-report,2,publicado el 14 Apr 2019,-,closed,,
Meiringen-Hasliberg,https://es.snow-forecast.com/resorts/Meiringen/snow-report,4,publicado el 14 Apr 2019,-,closed,,
Melchsee-Frutt,https://es.snow-forecast.com/resorts/Melchsee-Frutt/snow-report,4,publicado el 14 Apr 2019,-,closed,,
Moléson s/Gruyères,https://es.snow-forecast.com/resorts/MolesonsGruyeres/snow-report,3,publicado el 14 Apr 2019,-,closed,,
Mollis - Schilt,https://es.snow-forecast.com/resorts/Mollis-Schilt/snow-report,12,publicado el 15 Apr 2019,-,closed,,
Monte Tamaro,https://es.snow-forecast.com/resorts/MonteTamaro/snow-report,9,publicado el 14 Apr 2019,-,closed,,
Morgins,https://es.snow-forecast.com/resorts/Morgins/snow-report,3,publicado el 14 Apr 2019,-,closed,,
Morgins - Les Portes du Soleil,https://es.snow-forecast.com/resorts/Morgins-LesPortesduSoleil/snow-report,3,publicado el 14 Apr 2019,-,closed,,
Münster - Geschinen - Goms,https://es.snow-forecast.com/resorts/Munster-Geschinen-Goms/snow-report,7,publicado el 15 Apr 2019,-,closed,,
Mürren,https://es.snow-forecast.com/resorts/Murren/snow-report,5,publicado el 15 Apr 2019,Packed powder or groomed snow,Open,80,335
Mythenregion,https://es.snow-forecast.com/resorts/Mythenregion/snow-report,1,publicado el 12 Apr 2019,-,-,,
Nara,https://es.snow-forecast.com/resorts/Nara/snow-report,5,publicado el 14 Apr 2019,-,closed,,
Nax - Mont-Noble,https://es.snow-forecast.com/resorts/Nax-Mont-Noble/snow-report,1,publicado el 12 Apr 2019,-,-,,
Nendaz,https://es.snow-forecast.com/resorts/Nendaz/snow-report,3,publicado el 12 Apr 2019,-,-,,
Niederrickenbach,https://es.snow-forecast.com/resorts/Niederrickenbach/snow-report,3,publicado el 15 Apr 2019,-,closed,,
Oberiberg,https://es.snow-forecast.com/resorts/Oberiberg/snow-report,7,publicado el 15 Apr 2019,-,closed,,
Obersaxen - Mundaun - Val Lumnezia,https://es.snow-forecast.com/resorts/Obersaxen-Mundaun-ValLumnezia/snow-report,9,publicado el 15 Apr 2019,-,closed,,
Obertoggenburg - Toggenburg,https://es.snow-forecast.com/resorts/Obertoggenburg-Toggenburg/snow-report,27,publicado el 15 Apr 2019,-,closed,,
Ovronnaz,https://es.snow-forecast.com/resorts/Ovronnaz/snow-report,1,publicado el 14 Apr 2019,-,closed,,
Pilatus / Luzern,https://es.snow-forecast.com/resorts/Pilatus-Luzern/snow-report,27,publicado el  5 Apr 2019,-,-,,
Pizol,https://es.snow-forecast.com/resorts/BadRagaz/snow-report,5,publicado el 14 Apr 2019,-,closed,,
Pontresina,https://es.snow-forecast.com/resorts/Pontresina/snow-report,28,publicado el 15 Apr 2019,-,closed,,
Pontresina/Engadin,https://es.snow-forecast.com/resorts/PontresinaEngadin/snow-report,29,publicado el 15 Apr 2019,-,closed,,
Rathvel s/Châtel-St-Denis,https://es.snow-forecast.com/resorts/RathvelsChatel-St-Denis/snow-report,1,publicado el 14 Apr 2019,-,closed,,
Reichenbach - Faltschen,https://es.snow-forecast.com/resorts/Reichenbach-Faltschen/snow-report,1,publicado el 14 Apr 2019,-,closed,,
Ricken,https://es.snow-forecast.com/resorts/Ricken/snow-report,5,publicado el 15 Apr 2019,-,closed,,
Riederalp - Aletsch,https://es.snow-forecast.com/resorts/Riederalp-Aletsch/snow-report,6,publicado el 15 Apr 2019,-,closed,,
Riffenmatt,https://es.snow-forecast.com/resorts/Riffenmatt/snow-report,2,publicado el 14 Apr 2019,-,closed,,
Rigi,https://es.snow-forecast.com/resorts/Rigi/snow-report,1,publicado el  9 Apr 2019,-,-,,
Rochers-de-Naye - Caux,https://es.snow-forecast.com/resorts/Rochers-de-Naye-Caux/snow-report,2,publicado el 14 Apr 2019,-,closed,,
Rossberg Oberwil,https://es.snow-forecast.com/resorts/RossbergOberwiliS/snow-report,2,publicado el 14 Apr 2019,-,closed,,
Rosswald - Brig,https://es.snow-forecast.com/resorts/Brig-Rosswald/snow-report,2,publicado el 14 Apr 2019,-,closed,,
Rothenthurm,https://es.snow-forecast.com/resorts/Rothenthurm/snow-report,1,publicado el 12 Apr 2019,-,-,,
Rüschegg / Eywald,https://es.snow-forecast.com/resorts/RuscheggEywald/snow-report,3,publicado el 14 Apr 2019,-,closed,,
